Date,First Dose Daily Avg,Second Dose Daily Avg
2021-12-15,412541,349336.14285714284
2021-12-14,455731.5714285714,402371.14285714284
2021-12-13,465112.14285714284,419096.5714285714
2021-12-12,472775.4285714286,430387.85714285716
2021-12-11,483106.14285714284,442340.4285714286
2021-12-10,485600.28571428574,438277.28571428574
2021-12-09,457096,411237
2021-12-08,499546.4285714286,433916.71428571426
2021-12-07,450893.28571428574,375493
2021-12-06,460909,358118.28571428574
2021-12-05,618721.7142857143,399109.14285714284
2021-12-04,561468.2857142857,346201.5714285714
2021-12-03,482311.14285714284,291840.71428571426
2021-12-02,414481,238567.42857142858
2021-12-01,317552.71428571426,170622.85714285713
2021-11-30,362613.28571428574,154999.42857142858
2021-11-29,294277.5714285714,58178
2021-11-28,152706,-16526.571428571428
2021-11-27,218609.2857142857,5751.428571428572
2021-11-26,296668.85714285716,35455.71428571428
2021-11-25,399593.5714285714,65092.71428571428
2021-11-24,456006.85714285716,79484.42857142857
2021-11-23,425335.4285714286,76900.57142857143
2021-11-22,514135.4285714286,160434.85714285713
2021-11-21,527298.7142857143,166281.7142857143
2021-11-20,525742.1428571428,168198.57142857142
2021-11-19,526401,167532.42857142858
2021-11-18,486165.71428571426,162565.85714285713
2021-11-17,502169.28571428574,175634.85714285713
2021-11-16,490639.14285714284,181011
2021-11-15,455606.85714285716,182113.7142857143
2021-11-14,425426,183983.7142857143
2021-11-13,416015,189025.2857142857
2021-11-12,386179.71428571426,188853.85714285713
2021-11-11,367996.71428571426,192476.14285714287
2021-11-10,341666.71428571426,207347.85714285713
2021-11-09,328013.85714285716,206029.2857142857
2021-11-08,311954,202025.85714285713
2021-11-07,301359.71428571426,197012
2021-11-06,289093.4285714286,197571.7142857143
2021-11-05,291721.71428571426,203999
2021-11-04,177552,283625.85714285716
2021-11-03,190381.14285714287,277248
2021-11-02,187503.57142857142,276186.5714285714
2021-11-01,177353.42857142858,269591
2021-10-31,166990.85714285713,267828
2021-10-30,153667.2857142857,263237.85714285716
2021-10-29,137194.57142857142,259759.42857142858
2021-10-28,246297.85714285713,188283.57142857142
2021-10-27,222093.14285714287,183005.7142857143
2021-10-26,212496.7142857143,186472.42857142858
2021-10-25,220870.57142857142,201033
2021-10-24,220805.42857142858,205317.57142857142
2021-10-23,226124.57142857142,214254.14285714287
2021-10-22,226067,217765.2857142857
2021-10-21,238738.57142857142,234671.42857142858
2021-10-20,250568,253164.42857142858
2021-10-19,251067.2857142857,253280.57142857142
2021-10-18,245542.2857142857,247242
2021-10-17,242767.42857142858,245327.85714285713
2021-10-16,239015.7142857143,241001.7142857143
2021-10-15,249163.57142857142,248182.14285714287
2021-10-14,240748.7142857143,237651.85714285713
2021-10-13,230713.57142857142,221686.85714285713
2021-10-12,238058.57142857142,236383.2857142857
2021-10-11,250277.85714285713,253395.2857142857
2021-10-10,267511.71428571426,275943.85714285716
2021-10-09,288445.4285714286,295967.5714285714
2021-10-08,282317.28571428574,295072.14285714284
2021-10-07,276539,288104.85714285716
2021-10-06,281302.71428571426,292926.85714285716
2021-10-05,283518.71428571426,284903.14285714284
2021-10-04,263598.4285714286,271313
2021-10-03,253834,260244.14285714287
2021-10-02,241890.57142857142,255767.42857142858
2021-10-01,248044.2857142857,270531.4285714286
2021-09-30,252559.2857142857,287730.85714285716
2021-09-29,214002.2857142857,278203.28571428574
2021-09-28,213950.57142857142,293354.4285714286
2021-09-27,231695,308690.71428571426
2021-09-26,240038.85714285713,326842
